Speaker	GlobalIndex	StartTime	StopTime	Tokens	NGrams	SelfShared	OtherShared	N	OverlapCount	OverlapSeconds	AvgOverlap	Day	Reality
f	0	0:0:45	0:0:47	1	0	0	0	3	0	0	0	1	9
g	1	0:0:54	0:1:3	4	2	0	0	3	0	0	0	1	9
g	2	0:6:13	0:6:19	1	0	0	0	3	0	0	0	1	9
g	3	0:7:0	0:7:8	4	2	0	0	3	0	0	0	1	9
g	5	0:7:7	0:7:11	2	0	0	0	3	0	0	0	1	9
f	4	0:7:7	0:7:9	1	0	0	0	3	1	2	2	1	9
f	6	0:7:26	0:7:33	1	0	0	0	3	0	0	0	1	9
g	7	0:9:42	0:9:43	1	0	0	0	3	0	0	0	1	9
f	8	0:10:34	0:10:41	1	0	0	0	3	0	0	0	1	9
g	9	0:11:38	0:11:43	5	3	0	0	3	0	0	0	1	9
f	10	0:11:42	0:11:46	11	9	0	0	3	1	1	1	1	9
f	11	0:13:8	0:13:16	5	3	1	0	3	0	0	0	1	9
g	12	0:13:53	0:13:56	5	3	0	0	3	0	0	0	1	9
f	13	0:14:26	0:14:30	15	13	1	0	3	0	0	0	1	9
g	14	0:16:47	0:16:52	6	4	0	0	3	0	0	0	1	9
g	15	0:16:52	0:17:0	1	0	0	0	3	0	0	0	1	9
f	16	0:17:1	0:17:8	1	0	0	0	3	0	0	0	1	9
f	17	0:17:4	0:17:11	2	0	0	0	3	0	0	0	1	9
g	18	0:18:49	0:18:51	6	4	0	0	3	0	0	0	1	9
f	19	0:19:44	0:19:45	1	0	0	0	3	0	0	0	1	9
g	20	0:20:42	0:20:42	9	7	0	0	3	0	0	0	1	9
g	21	0:22:1	0:22:3	1	0	0	0	3	0	0	0	1	9
g	22	0:22:24	0:22:29	15	13	0	0	3	0	0	0	1	9
f	23	0:22:50	0:22:58	3	1	0	0	3	0	0	0	1	9
f	24	0:25:17	0:25:20	1	0	0	0	3	0	0	0	1	9
g	25	0:27:44	0:27:47	4	2	0	0	3	0	0	0	1	9
f	26	0:28:34	0:28:41	1	0	0	0	3	0	0	0	1	9
g	27	0:29:44	0:29:49	1	0	0	0	3	0	0	0	1	9
f	28	0:30:47	0:30:52	3	1	0	0	3	0	0	0	1	9
g	29	0:32:22	0:32:24	1	0	0	0	3	0	0	0	1	9
g	30	0:34:20	0:34:24	15	13	0	0	3	0	0	0	1	9
f	31	0:36:9	0:36:17	1	0	0	0	3	0	0	0	1	9
g	32	0:37:20	0:37:24	1	0	0	0	3	0	0	0	1	9
f	33	0:38:7	0:38:7	5	3	0	0	3	0	0	0	1	9
g	34	0:39:30	0:39:39	1	0	0	0	3	0	0	0	1	9
g	35	0:41:0	0:41:8	11	9	0	0	3	0	0	0	1	9
g	36	0:42:46	0:42:48	8	6	0	0	3	0	0	0	1	9
g	37	0:44:22	0:44:31	8	6	0	0	3	0	0	0	1	9
f	38	0:44:58	0:45:0	7	5	0	0	3	0	0	0	1	9
g	39	0:47:14	0:47:16	4	2	0	0	3	0	0	0	1	9
g	40	0:49:57	0:49:58	1	0	0	0	3	0	0	0	1	9
g	41	0:50:43	0:50:47	1	0	0	0	3	0	0	0	1	9
g	42	0:50:52	0:50:57	1	0	0	0	3	0	0	0	1	9
g	43	0:51:42	0:51:48	3	1	0	0	3	0	0	0	1	9
f	44	0:51:48	0:51:56	1	0	0	0	3	1	0	0	1	9
f	45	0:51:54	0:52:3	1	0	0	0	3	0	0	0	1	9
g	46	0:52:17	0:52:21	11	9	0	0	3	0	0	0	1	9
g	47	0:54:2	0:54:2	9	7	0	0	3	0	0	0	1	9
g	48	0:53:54	0:54:2	9	7	1	0	3	0	0	0	1	9
f	49	0:54:22	0:54:24	1	0	0	0	3	0	0	0	1	9
g	50	0:54:56	0:54:57	10	8	0	0	3	0	0	0	1	9
f	51	0:56:45	0:56:53	4	2	0	0	3	0	0	0	1	9
g	52	0:57:12	0:57:13	6	4	0	0	3	0	0	0	1	9
g	53	1:0:16	1:0:22	13	11	0	0	3	0	0	0	1	9
f	54	1:0:51	1:0:52	1	0	0	0	3	0	0	0	1	9
g	55	1:1:4	1:1:7	1	0	0	0	3	0	0	0	1	9
g	56	1:1:39	1:1:39	6	4	0	0	3	0	0	0	1	9
g	57	1:3:5	1:3:7	11	9	0	0	3	0	0	0	1	9
g	58	1:3:52	1:3:55	8	6	0	0	3	0	0	0	1	9
g	59	1:4:29	1:4:31	3	1	0	0	3	0	0	0	1	9
f	60	1:6:38	1:6:46	1	0	0	0	3	0	0	0	1	9
g	61	1:7:2	1:7:5	15	13	0	0	3	0	0	0	1	9
f	62	1:14:24	1:14:24	5	3	0	1	3	0	0	0	1	9
g	63	1:14:28	1:14:36	1	0	0	0	3	0	0	0	1	9
g	64	1:17:6	1:17:9	1	0	0	0	3	0	0	0	1	9
f	65	1:18:3	1:18:4	1	0	0	0	3	0	0	0	1	9
g	66	1:20:5	1:20:10	1	0	0	0	3	0	0	0	1	9
g	67	1:20:23	1:20:24	1	0	0	0	3	0	0	0	1	9
f	68	1:20:45	1:20:47	1	0	0	0	3	0	0	0	1	9
g	69	1:23:8	1:23:14	6	4	0	0	3	0	0	0	1	9
g	70	1:23:35	1:23:39	3	1	0	0	3	0	0	0	1	9
g	71	1:23:52	1:23:56	1	0	0	0	3	0	0	0	1	9
f	72	1:24:1	1:24:6	7	5	0	0	3	0	0	0	1	9
g	73	1:24:40	1:24:42	4	2	0	0	3	0	0	0	1	9
g	74	1:24:41	1:24:48	5	3	0	0	3	0	0	0	1	9
g	75	1:24:58	1:25:3	11	9	0	0	3	0	0	0	1	9
g	76	1:25:44	1:25:47	9	7	0	0	3	0	0	0	1	9
f	77	1:26:12	1:26:20	3	1	0	0	3	0	0	0	1	9
g	78	1:26:13	1:26:20	3	1	0	0	3	1	7	7	1	9
f	79	1:26:42	1:26:49	5	3	0	0	3	0	0	0	1	9
g	80	1:31:12	1:31:19	14	12	0	0	3	0	0	0	1	9
g	81	1:31:45	1:31:48	2	0	0	0	3	0	0	0	1	9
g	82	1:32:43	1:32:44	2	0	0	0	3	0	0	0	1	9
g	83	1:36:22	1:36:30	11	9	0	1	3	0	0	0	1	9
f	84	1:38:20	1:38:23	4	2	0	0	3	0	0	0	1	9
f	85	1:41:54	1:42:1	1	0	0	0	3	0	0	0	1	9
g	86	1:42:10	1:42:11	1	0	0	0	3	0	0	0	1	9
f	87	1:44:0	1:44:3	1	0	0	0	3	0	0	0	1	9
f	88	1:44:43	1:44:44	2	0	0	0	3	0	0	0	1	9
f	89	1:44:48	1:44:53	1	0	0	0	3	0	0	0	1	9
g	90	1:47:8	1:47:14	5	3	0	0	3	0	0	0	1	9
g	91	1:47:22	1:47:24	1	0	0	0	3	0	0	0	1	9
f	92	1:49:6	1:49:10	2	0	0	0	3	0	0	0	1	9
g	93	1:50:56	1:51:1	14	12	0	0	3	0	0	0	1	9
g	94	1:50:59	1:51:5	21	19	1	0	3	0	0	0	1	9
g	95	1:51:5	1:51:8	2	0	0	0	3	0	0	0	1	9
f	96	1:57:49	1:57:55	1	0	0	0	3	0	0	0	1	9
g	97	1:58:9	1:58:10	1	0	0	0	3	0	0	0	1	9
g	98	1:58:30	1:58:31	8	6	0	0	3	0	0	0	1	9
g	99	2:0:18	2:0:20	5	3	0	0	3	0	0	0	1	9
f	100	2:1:13	2:1:20	1	0	0	0	3	0	0	0	1	9
g	101	2:2:32	2:2:41	1	0	0	0	3	0	0	0	1	9
g	102	2:2:42	2:2:50	6	4	0	0	3	0	0	0	1	9
g	103	2:5:11	2:5:16	1	0	0	0	3	0	0	0	1	9
f	104	2:6:19	2:6:25	11	9	0	0	3	0	0	0	1	9
g	105	2:7:28	2:7:35	17	15	0	2	3	0	0	0	1	9
f	106	2:13:1	2:13:10	7	5	0	0	3	0	0	0	1	9
f	107	2:14:46	2:14:48	1	0	0	0	3	0	0	0	1	9
g	108	2:15:49	2:15:53	3	1	0	0	3	0	0	0	1	9
f	109	2:18:1	2:18:3	3	1	0	0	3	0	0	0	1	9
g	110	2:22:17	2:22:17	16	14	0	0	3	0	0	0	1	9
g	111	2:24:22	2:24:24	5	3	0	0	3	0	0	0	1	9
f	112	2:25:24	2:25:30	1	0	0	0	3	0	0	0	1	9
g	113	2:25:41	2:25:50	3	1	0	0	3	0	0	0	1	9
g	114	2:27:5	2:27:6	10	8	0	0	3	0	0	0	1	9
f	115	2:29:3	2:29:4	6	4	0	0	3	0	0	0	1	9
g	116	2:33:37	2:33:43	6	4	0	0	3	0	0	0	1	9
g	117	2:36:3	2:36:11	10	8	0	1	3	0	0	0	1	9
g	118	2:36:18	2:36:26	10	8	3	0	3	0	0	0	1	9
f	119	2:37:43	2:37:51	1	0	0	0	3	0	0	0	1	9
f	120	2:37:58	2:38:6	7	5	0	0	3	0	0	0	1	9
g	121	2:38:12	2:38:13	4	2	0	0	3	0	0	0	1	9
g	122	2:40:56	2:41:3	3	1	0	0	3	0	0	0	1	9
f	123	2:41:54	2:41:56	1	0	0	0	3	0	0	0	1	9
f	124	2:43:25	2:43:26	7	5	0	0	3	0	0	0	1	9
g	125	2:44:42	2:44:51	1	0	0	0	3	0	0	0	1	9
f	126	2:46:19	2:46:21	5	3	0	0	3	0	0	0	1	9
g	127	2:46:52	2:46:54	4	2	0	0	3	0	0	0	1	9
f	128	2:46:56	2:47:3	1	0	0	0	3	0	0	0	1	9
f	129	2:47:30	2:47:35	1	0	0	0	3	0	0	0	1	9
g	130	2:49:23	2:49:30	12	10	2	0	3	0	0	0	1	9
f	131	2:49:37	2:49:46	1	0	0	0	3	0	0	0	1	9
f	132	2:50:8	2:50:12	1	0	0	0	3	0	0	0	1	9
g	133	2:53:28	2:53:35	7	5	0	0	3	0	0	0	1	9
f	134	2:53:32	2:53:39	6	4	0	0	3	1	3	3	1	9
f	135	2:55:8	2:55:10	9	7	0	0	3	0	0	0	1	9
f	136	2:56:41	2:56:43	3	1	0	0	3	0	0	0	1	9
g	137	2:57:6	2:57:7	7	5	0	0	3	0	0	0	1	9
f	138	3:0:55	3:1:0	1	0	0	0	3	0	0	0	1	9
f	139	3:1:55	3:1:59	1	0	0	0	3	0	0	0	1	9
f	140	3:2:7	3:2:10	1	0	0	0	3	0	0	0	1	9
f	141	3:2:55	3:3:3	1	0	0	0	3	0	0	0	1	9
g	142	3:3:50	3:3:59	1	0	0	0	3	0	0	0	1	9
f	143	3:4:16	3:4:23	1	0	0	0	3	0	0	0	1	9
g	144	3:8:18	3:8:18	6	4	0	0	3	0	0	0	1	9
f	145	3:10:17	3:10:26	1	0	0	0	3	0	0	0	1	9
f	146	3:10:40	3:10:42	17	15	0	0	3	0	0	0	1	9
f	147	3:10:47	3:10:51	5	3	0	0	3	0	0	0	1	9
g	148	3:11:57	3:12:3	7	5	1	0	3	0	0	0	1	9
g	149	3:13:31	3:13:39	1	0	0	0	3	0	0	0	1	9
g	150	3:14:44	3:14:45	4	2	0	0	3	0	0	0	1	9
g	151	3:14:52	3:15:0	7	5	0	0	3	0	0	0	1	9
g	152	3:15:43	3:15:43	2	0	0	0	3	0	0	0	1	9
f	153	3:16:12	3:16:19	5	3	0	0	3	0	0	0	1	9
g	154	3:17:25	3:17:31	11	9	0	0	3	0	0	0	1	9
f	155	3:18:49	3:18:51	9	7	0	0	3	0	0	0	1	9
f	156	3:18:54	3:19:3	1	0	0	0	3	0	0	0	1	9
g	157	3:20:17	3:20:20	7	5	1	0	3	0	0	0	1	9
f	158	3:21:11	3:21:19	2	0	0	0	3	0	0	0	1	9
f	159	3:23:15	3:23:22	10	8	0	0	3	0	0	0	1	9
f	160	3:23:40	3:23:46	1	0	0	0	3	0	0	0	1	9
g	161	3:25:9	3:25:17	6	4	0	0	3	0	0	0	1	9
g	162	3:25:29	3:25:32	5	3	1	0	3	0	0	0	1	9
f	163	3:25:33	3:25:39	1	0	0	0	3	0	0	0	1	9
f	164	3:26:50	3:26:51	7	5	0	0	3	0	0	0	1	9
f	165	3:31:29	3:31:33	2	0	0	0	3	0	0	0	1	9
g	166	3:33:20	3:33:20	1	0	0	0	3	0	0	0	1	9
f	167	3:34:18	3:34:25	6	4	0	0	3	0	0	0	1	9
g	168	3:36:11	3:36:12	8	6	0	0	3	0	0	0	1	9
f	169	3:36:34	3:36:39	1	0	0	0	3	0	0	0	1	9
g	170	3:40:23	3:40:23	5	3	1	0	3	0	0	0	1	9
f	171	3:40:23	3:40:27	1	0	0	0	3	1	4	4	1	9
f	172	3:42:5	3:42:10	1	0	0	0	3	0	0	0	1	9
f	173	3:43:37	3:43:42	1	0	0	0	3	0	0	0	1	9
g	174	3:43:56	3:44:3	8	6	0	0	3	0	0	0	1	9
g	175	3:44:16	3:44:23	1	0	0	0	3	0	0	0	1	9
g	176	3:45:50	3:45:54	1	0	0	0	3	0	0	0	1	9
f	177	3:46:59	3:47:7	11	9	0	0	3	0	0	0	1	9
g	178	3:49:47	3:49:51	8	6	0	0	3	0	0	0	1	9
f	179	3:50:35	3:50:37	1	0	0	0	3	0	0	0	1	9
f	180	3:52:7	3:52:15	9	7	0	0	3	0	0	0	1	9
f	181	3:52:21	3:52:24	15	13	0	0	3	0	0	0	1	9
f	182	3:53:28	3:53:28	1	0	0	0	3	0	0	0	1	9
f	183	3:53:38	3:53:41	1	0	0	0	3	0	0	0	1	9
g	184	3:54:52	3:55:0	1	0	0	0	3	0	0	0	1	9
g	185	3:56:30	3:56:36	14	12	0	0	3	0	0	0	1	9
g	186	3:59:0	3:59:9	9	7	0	0	3	0	0	0	1	9
g	187	3:59:48	3:59:51	6	4	0	0	3	0	0	0	1	9
g	188	4:0:5	4:0:8	5	3	0	0	3	0	0	0	1	9
f	189	4:0:43	4:0:47	2	0	0	0	3	0	0	0	1	9
f	190	4:0:51	4:1:0	1	0	0	0	3	0	0	0	1	9
f	191	4:1:0	4:1:4	1	0	0	0	3	0	0	0	1	9
f	192	4:2:6	4:2:8	10	8	0	0	3	0	0	0	1	9
f	0	0:0:45	0:0:47	1	0	0	0	4	0	0	0	1	9
g	1	0:0:54	0:1:3	4	1	0	0	4	0	0	0	1	9
g	2	0:6:13	0:6:19	1	0	0	0	4	0	0	0	1	9
g	3	0:7:0	0:7:8	4	1	0	0	4	0	0	0	1	9
g	5	0:7:7	0:7:11	2	0	0	0	4	0	0	0	1	9
f	4	0:7:7	0:7:9	1	0	0	0	4	1	2	2	1	9
f	6	0:7:26	0:7:33	1	0	0	0	4	0	0	0	1	9
g	7	0:9:42	0:9:43	1	0	0	0	4	0	0	0	1	9
f	8	0:10:34	0:10:41	1	0	0	0	4	0	0	0	1	9
g	9	0:11:38	0:11:43	5	2	0	0	4	0	0	0	1	9
f	10	0:11:42	0:11:46	11	8	0	0	4	1	1	1	1	9
f	11	0:13:8	0:13:16	5	2	0	0	4	0	0	0	1	9
g	12	0:13:53	0:13:56	5	2	0	0	4	0	0	0	1	9
f	13	0:14:26	0:14:30	15	12	0	0	4	0	0	0	1	9
g	14	0:16:47	0:16:52	6	3	0	0	4	0	0	0	1	9
g	15	0:16:52	0:17:0	1	0	0	0	4	0	0	0	1	9
f	16	0:17:1	0:17:8	1	0	0	0	4	0	0	0	1	9
f	17	0:17:4	0:17:11	2	0	0	0	4	0	0	0	1	9
g	18	0:18:49	0:18:51	6	3	0	0	4	0	0	0	1	9
f	19	0:19:44	0:19:45	1	0	0	0	4	0	0	0	1	9
g	20	0:20:42	0:20:42	9	6	0	0	4	0	0	0	1	9
g	21	0:22:1	0:22:3	1	0	0	0	4	0	0	0	1	9
g	22	0:22:24	0:22:29	15	12	0	0	4	0	0	0	1	9
f	23	0:22:50	0:22:58	3	0	0	0	4	0	0	0	1	9
f	24	0:25:17	0:25:20	1	0	0	0	4	0	0	0	1	9
g	25	0:27:44	0:27:47	4	1	0	0	4	0	0	0	1	9
f	26	0:28:34	0:28:41	1	0	0	0	4	0	0	0	1	9
g	27	0:29:44	0:29:49	1	0	0	0	4	0	0	0	1	9
f	28	0:30:47	0:30:52	3	0	0	0	4	0	0	0	1	9
g	29	0:32:22	0:32:24	1	0	0	0	4	0	0	0	1	9
g	30	0:34:20	0:34:24	15	12	0	0	4	0	0	0	1	9
f	31	0:36:9	0:36:17	1	0	0	0	4	0	0	0	1	9
g	32	0:37:20	0:37:24	1	0	0	0	4	0	0	0	1	9
f	33	0:38:7	0:38:7	5	2	0	0	4	0	0	0	1	9
g	34	0:39:30	0:39:39	1	0	0	0	4	0	0	0	1	9
g	35	0:41:0	0:41:8	11	8	0	0	4	0	0	0	1	9
g	36	0:42:46	0:42:48	8	5	0	0	4	0	0	0	1	9
g	37	0:44:22	0:44:31	8	5	0	0	4	0	0	0	1	9
f	38	0:44:58	0:45:0	7	4	0	0	4	0	0	0	1	9
g	39	0:47:14	0:47:16	4	1	0	0	4	0	0	0	1	9
g	40	0:49:57	0:49:58	1	0	0	0	4	0	0	0	1	9
g	41	0:50:43	0:50:47	1	0	0	0	4	0	0	0	1	9
g	42	0:50:52	0:50:57	1	0	0	0	4	0	0	0	1	9
g	43	0:51:42	0:51:48	3	0	0	0	4	0	0	0	1	9
f	44	0:51:48	0:51:56	1	0	0	0	4	1	0	0	1	9
f	45	0:51:54	0:52:3	1	0	0	0	4	0	0	0	1	9
g	46	0:52:17	0:52:21	11	8	0	0	4	0	0	0	1	9
g	47	0:54:2	0:54:2	9	6	0	0	4	0	0	0	1	9
g	48	0:53:54	0:54:2	9	6	0	0	4	0	0	0	1	9
f	49	0:54:22	0:54:24	1	0	0	0	4	0	0	0	1	9
g	50	0:54:56	0:54:57	10	7	0	0	4	0	0	0	1	9
f	51	0:56:45	0:56:53	4	1	0	0	4	0	0	0	1	9
g	52	0:57:12	0:57:13	6	3	0	0	4	0	0	0	1	9
g	53	1:0:16	1:0:22	13	10	0	0	4	0	0	0	1	9
f	54	1:0:51	1:0:52	1	0	0	0	4	0	0	0	1	9
g	55	1:1:4	1:1:7	1	0	0	0	4	0	0	0	1	9
g	56	1:1:39	1:1:39	6	3	0	0	4	0	0	0	1	9
g	57	1:3:5	1:3:7	11	8	0	0	4	0	0	0	1	9
g	58	1:3:52	1:3:55	8	5	0	0	4	0	0	0	1	9
g	59	1:4:29	1:4:31	3	0	0	0	4	0	0	0	1	9
f	60	1:6:38	1:6:46	1	0	0	0	4	0	0	0	1	9
g	61	1:7:2	1:7:5	15	12	0	0	4	0	0	0	1	9
f	62	1:14:24	1:14:24	5	2	0	0	4	0	0	0	1	9
g	63	1:14:28	1:14:36	1	0	0	0	4	0	0	0	1	9
g	64	1:17:6	1:17:9	1	0	0	0	4	0	0	0	1	9
f	65	1:18:3	1:18:4	1	0	0	0	4	0	0	0	1	9
g	66	1:20:5	1:20:10	1	0	0	0	4	0	0	0	1	9
g	67	1:20:23	1:20:24	1	0	0	0	4	0	0	0	1	9
f	68	1:20:45	1:20:47	1	0	0	0	4	0	0	0	1	9
g	69	1:23:8	1:23:14	6	3	0	0	4	0	0	0	1	9
g	70	1:23:35	1:23:39	3	0	0	0	4	0	0	0	1	9
g	71	1:23:52	1:23:56	1	0	0	0	4	0	0	0	1	9
f	72	1:24:1	1:24:6	7	4	0	0	4	0	0	0	1	9
g	73	1:24:40	1:24:42	4	1	0	0	4	0	0	0	1	9
g	74	1:24:41	1:24:48	5	2	0	0	4	0	0	0	1	9
g	75	1:24:58	1:25:3	11	8	0	0	4	0	0	0	1	9
g	76	1:25:44	1:25:47	9	6	0	0	4	0	0	0	1	9
f	77	1:26:12	1:26:20	3	0	0	0	4	0	0	0	1	9
g	78	1:26:13	1:26:20	3	0	0	0	4	1	7	7	1	9
f	79	1:26:42	1:26:49	5	2	0	0	4	0	0	0	1	9
g	80	1:31:12	1:31:19	14	11	0	0	4	0	0	0	1	9
g	81	1:31:45	1:31:48	2	0	0	0	4	0	0	0	1	9
g	82	1:32:43	1:32:44	2	0	0	0	4	0	0	0	1	9
g	83	1:36:22	1:36:30	11	8	0	0	4	0	0	0	1	9
f	84	1:38:20	1:38:23	4	1	0	0	4	0	0	0	1	9
f	85	1:41:54	1:42:1	1	0	0	0	4	0	0	0	1	9
g	86	1:42:10	1:42:11	1	0	0	0	4	0	0	0	1	9
f	87	1:44:0	1:44:3	1	0	0	0	4	0	0	0	1	9
f	88	1:44:43	1:44:44	2	0	0	0	4	0	0	0	1	9
f	89	1:44:48	1:44:53	1	0	0	0	4	0	0	0	1	9
g	90	1:47:8	1:47:14	5	2	0	0	4	0	0	0	1	9
g	91	1:47:22	1:47:24	1	0	0	0	4	0	0	0	1	9
f	92	1:49:6	1:49:10	2	0	0	0	4	0	0	0	1	9
g	93	1:50:56	1:51:1	14	11	0	0	4	0	0	0	1	9
g	94	1:50:59	1:51:5	21	18	0	0	4	0	0	0	1	9
g	95	1:51:5	1:51:8	2	0	0	0	4	0	0	0	1	9
f	96	1:57:49	1:57:55	1	0	0	0	4	0	0	0	1	9
g	97	1:58:9	1:58:10	1	0	0	0	4	0	0	0	1	9
g	98	1:58:30	1:58:31	8	5	0	0	4	0	0	0	1	9
g	99	2:0:18	2:0:20	5	2	0	0	4	0	0	0	1	9
f	100	2:1:13	2:1:20	1	0	0	0	4	0	0	0	1	9
g	101	2:2:32	2:2:41	1	0	0	0	4	0	0	0	1	9
g	102	2:2:42	2:2:50	6	3	0	0	4	0	0	0	1	9
g	103	2:5:11	2:5:16	1	0	0	0	4	0	0	0	1	9
f	104	2:6:19	2:6:25	11	8	0	0	4	0	0	0	1	9
g	105	2:7:28	2:7:35	17	14	0	1	4	0	0	0	1	9
f	106	2:13:1	2:13:10	7	4	0	0	4	0	0	0	1	9
f	107	2:14:46	2:14:48	1	0	0	0	4	0	0	0	1	9
g	108	2:15:49	2:15:53	3	0	0	0	4	0	0	0	1	9
f	109	2:18:1	2:18:3	3	0	0	0	4	0	0	0	1	9
g	110	2:22:17	2:22:17	16	13	0	0	4	0	0	0	1	9
g	111	2:24:22	2:24:24	5	2	0	0	4	0	0	0	1	9
f	112	2:25:24	2:25:30	1	0	0	0	4	0	0	0	1	9
g	113	2:25:41	2:25:50	3	0	0	0	4	0	0	0	1	9
g	114	2:27:5	2:27:6	10	7	0	0	4	0	0	0	1	9
f	115	2:29:3	2:29:4	6	3	0	0	4	0	0	0	1	9
g	116	2:33:37	2:33:43	6	3	0	0	4	0	0	0	1	9
g	117	2:36:3	2:36:11	10	7	0	0	4	0	0	0	1	9
g	118	2:36:18	2:36:26	10	7	2	0	4	0	0	0	1	9
f	119	2:37:43	2:37:51	1	0	0	0	4	0	0	0	1	9
f	120	2:37:58	2:38:6	7	4	0	0	4	0	0	0	1	9
g	121	2:38:12	2:38:13	4	1	0	0	4	0	0	0	1	9
g	122	2:40:56	2:41:3	3	0	0	0	4	0	0	0	1	9
f	123	2:41:54	2:41:56	1	0	0	0	4	0	0	0	1	9
f	124	2:43:25	2:43:26	7	4	0	0	4	0	0	0	1	9
g	125	2:44:42	2:44:51	1	0	0	0	4	0	0	0	1	9
f	126	2:46:19	2:46:21	5	2	0	0	4	0	0	0	1	9
g	127	2:46:52	2:46:54	4	1	0	0	4	0	0	0	1	9
f	128	2:46:56	2:47:3	1	0	0	0	4	0	0	0	1	9
f	129	2:47:30	2:47:35	1	0	0	0	4	0	0	0	1	9
g	130	2:49:23	2:49:30	12	9	1	0	4	0	0	0	1	9
f	131	2:49:37	2:49:46	1	0	0	0	4	0	0	0	1	9
f	132	2:50:8	2:50:12	1	0	0	0	4	0	0	0	1	9
g	133	2:53:28	2:53:35	7	4	0	0	4	0	0	0	1	9
f	134	2:53:32	2:53:39	6	3	0	0	4	1	3	3	1	9
f	135	2:55:8	2:55:10	9	6	0	0	4	0	0	0	1	9
f	136	2:56:41	2:56:43	3	0	0	0	4	0	0	0	1	9
g	137	2:57:6	2:57:7	7	4	0	0	4	0	0	0	1	9
f	138	3:0:55	3:1:0	1	0	0	0	4	0	0	0	1	9
f	139	3:1:55	3:1:59	1	0	0	0	4	0	0	0	1	9
f	140	3:2:7	3:2:10	1	0	0	0	4	0	0	0	1	9
f	141	3:2:55	3:3:3	1	0	0	0	4	0	0	0	1	9
g	142	3:3:50	3:3:59	1	0	0	0	4	0	0	0	1	9
f	143	3:4:16	3:4:23	1	0	0	0	4	0	0	0	1	9
g	144	3:8:18	3:8:18	6	3	0	0	4	0	0	0	1	9
f	145	3:10:17	3:10:26	1	0	0	0	4	0	0	0	1	9
f	146	3:10:40	3:10:42	17	14	0	0	4	0	0	0	1	9
f	147	3:10:47	3:10:51	5	2	0	0	4	0	0	0	1	9
g	148	3:11:57	3:12:3	7	4	0	0	4	0	0	0	1	9
g	149	3:13:31	3:13:39	1	0	0	0	4	0	0	0	1	9
g	150	3:14:44	3:14:45	4	1	0	0	4	0	0	0	1	9
g	151	3:14:52	3:15:0	7	4	0	0	4	0	0	0	1	9
g	152	3:15:43	3:15:43	2	0	0	0	4	0	0	0	1	9
f	153	3:16:12	3:16:19	5	2	0	0	4	0	0	0	1	9
g	154	3:17:25	3:17:31	11	8	0	0	4	0	0	0	1	9
f	155	3:18:49	3:18:51	9	6	0	0	4	0	0	0	1	9
f	156	3:18:54	3:19:3	1	0	0	0	4	0	0	0	1	9
g	157	3:20:17	3:20:20	7	4	0	0	4	0	0	0	1	9
f	158	3:21:11	3:21:19	2	0	0	0	4	0	0	0	1	9
f	159	3:23:15	3:23:22	10	7	0	0	4	0	0	0	1	9
f	160	3:23:40	3:23:46	1	0	0	0	4	0	0	0	1	9
g	161	3:25:9	3:25:17	6	3	0	0	4	0	0	0	1	9
g	162	3:25:29	3:25:32	5	2	0	0	4	0	0	0	1	9
f	163	3:25:33	3:25:39	1	0	0	0	4	0	0	0	1	9
f	164	3:26:50	3:26:51	7	4	0	0	4	0	0	0	1	9
f	165	3:31:29	3:31:33	2	0	0	0	4	0	0	0	1	9
g	166	3:33:20	3:33:20	1	0	0	0	4	0	0	0	1	9
f	167	3:34:18	3:34:25	6	3	0	0	4	0	0	0	1	9
g	168	3:36:11	3:36:12	8	5	0	0	4	0	0	0	1	9
f	169	3:36:34	3:36:39	1	0	0	0	4	0	0	0	1	9
g	170	3:40:23	3:40:23	5	2	0	0	4	0	0	0	1	9
f	171	3:40:23	3:40:27	1	0	0	0	4	1	4	4	1	9
f	172	3:42:5	3:42:10	1	0	0	0	4	0	0	0	1	9
f	173	3:43:37	3:43:42	1	0	0	0	4	0	0	0	1	9
g	174	3:43:56	3:44:3	8	5	0	0	4	0	0	0	1	9
g	175	3:44:16	3:44:23	1	0	0	0	4	0	0	0	1	9
g	176	3:45:50	3:45:54	1	0	0	0	4	0	0	0	1	9
f	177	3:46:59	3:47:7	11	8	0	0	4	0	0	0	1	9
g	178	3:49:47	3:49:51	8	5	0	0	4	0	0	0	1	9
f	179	3:50:35	3:50:37	1	0	0	0	4	0	0	0	1	9
f	180	3:52:7	3:52:15	9	6	0	0	4	0	0	0	1	9
f	181	3:52:21	3:52:24	15	12	0	0	4	0	0	0	1	9
f	182	3:53:28	3:53:28	1	0	0	0	4	0	0	0	1	9
f	183	3:53:38	3:53:41	1	0	0	0	4	0	0	0	1	9
g	184	3:54:52	3:55:0	1	0	0	0	4	0	0	0	1	9
g	185	3:56:30	3:56:36	14	11	0	0	4	0	0	0	1	9
g	186	3:59:0	3:59:9	9	6	0	0	4	0	0	0	1	9
g	187	3:59:48	3:59:51	6	3	0	0	4	0	0	0	1	9
g	188	4:0:5	4:0:8	5	2	0	0	4	0	0	0	1	9
f	189	4:0:43	4:0:47	2	0	0	0	4	0	0	0	1	9
f	190	4:0:51	4:1:0	1	0	0	0	4	0	0	0	1	9
f	191	4:1:0	4:1:4	1	0	0	0	4	0	0	0	1	9
f	192	4:2:6	4:2:8	10	7	0	0	4	0	0	0	1	9
